name,club,age,nationality,position,called_up,minutes,avg_rating,clearances_pg,aerial_duels_won,total_duels_won,accurate_passes,long_balls_accurate,balls_recovered_pg,errors_leading_shot,dribbled_past_pg,fouls_pg
Brian Fatari,Dewa United,26,Indonesia,CB,Yes,1950,6.78,1.8,1.4,3.5,42.9,1.2,7.2,12,1.4,0.5
Muhammad Ferarri,Bhayangkara FC,22,Indonesia,CB/RB,Yes,720,6.65,1.8,0.6,3.6,16.3,1.5,6.7,4,1.3,1.3
Wahyu Prasetyo,Dewa United,28,Indonesia,CB,Yes,1032,6.56,1.4,0.3,2.2,19.0,1.2,5.3,4,1.7,0.5
Dion Markx,Persib Bandung,20,Indonesia,CB,No,3,6.40,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0
Kakang Rudianto,Persib Bandung,23,Indonesia,CB/RB,No,1668,6.64,1.3,0.4,2.2,22.6,0.9,4.8,6,2.7,0.6
Alfeandra Dewangga,Persib Bandung,24,Indonesia,CB/RB,No,557,6.80,2.1,1.4,3.6,14.8,1.3,4.3,2,1.3,1.0
Komang Teguh,Borneo FC,24,Indonesia,CB,No,2318,6.99,2.6,1.1,2.4,41.0,2.2,8.5,23,1.7,0.4
Alfharezzi Buffon,Borneo FC,20,Indonesia,CB/RB,Yes,1106,6.53,1.2,1.1,3.2,19.9,1.2,4.6,12,2.4,0.4
Rizky Ridho,Persija Jakarta,24,Indonesia,CB,No,2501,6.95,2.0,1.3,3.0,45.6,3.3,8.3,8,1.4,1.0
Jordi Amat,Persija Jakarta,34,Indonesia,CB,No,2095,6.83,1.2,1.2,3.1,39.1,2.4,6.6,4,1.2,1.1
Riswan Lauhim,Malut United,27,Indonesia,CB,No,155,6.50,1.8,1.4,3.0,8.4,0.2,4.0,4,1.4,0.2
Safrudin Tahar,Malut United,32,Indonesia,CB/RB,No,1400,6.72,2.3,0.9,2.1,17.4,1.0,5.0,8,0.6,0.4
Rachmat Irianto,Persebaya Surabaya,26,Indonesia,CB/DM,No,1309,6.78,1.1,0.5,3.6,22.4,1.8,6.2,9,1.5,0.7
Kadek Arel,Bali United,21,Indonesia,CB,No,1973,6.69,2.4,1.2,2.9,33.2,1.8,6.0,15,1.9,1.0
Bagas Adi Nugroho,Bali United,29,Indonesia,CB,No,713,6.65,1.2,0.7,1.8,29.3,2.0,5.3,3,1.2,1.3
Ricky Fajrin,Bali United,30,Indonesia,CB/LB,No,2520,6.93,3.1,1.2,6.5,34.0,2.6,10.1,18,3.5,1.2
Ryuji Utomo,Persita Tangerang,30,Indonesia,CB,No,766,6.68,1.8,2.1,3.0,19.0,3.6,4.7,6,0.9,0.9
